Date;Returning.Visits
01/01/2019;277
01/02/2019;462
01/03/2019;534
01/04/2019;437
01/05/2019;261
01/06/2019;398
01/07/2019;550
01/08/2019;597
01/09/2019;585
01/10/2019;538
01/11/2019;477
01/12/2019;309
1/13/2019;386
1/14/2019;588
1/15/2019;582
1/16/2019;602
1/17/2019;549
1/18/2019;495
1/19/2019;330
1/20/2019;393
1/21/2019;608
1/22/2019;622
1/23/2019;657
1/24/2019;609
1/25/2019;500
1/26/2019;341
1/27/2019;390
1/28/2019;693
1/29/2019;606
1/30/2019;625
1/31/2019;613
02/01/2019;559
02/02/2019;306
02/03/2019;403
02/04/2019;621
02/05/2019;633
02/06/2019;629
02/07/2019;694
02/08/2019;514
02/09/2019;363
02/10/2019;492
02/11/2019;710
02/12/2019;701
2/13/2019;696
2/14/2019;687
2/15/2019;575
2/16/2019;386
2/17/2019;452
2/18/2019;686
2/19/2019;747
2/20/2019;722
2/21/2019;719
2/22/2019;565
2/23/2019;388
2/24/2019;488
2/25/2019;746
2/26/2019;774
2/27/2019;763
2/28/2019;700
03/01/2019;584
03/02/2019;385
03/03/2019;529
03/04/2019;771
03/05/2019;749
03/06/2019;730
03/07/2019;734
03/08/2019;557
03/09/2019;369
03/10/2019;501
03/11/2019;721
03/12/2019;752
3/13/2019;780
3/14/2019;715
3/15/2019;617
3/16/2019;414
3/17/2019;486
3/18/2019;721
3/19/2019;716
3/20/2019;754
3/21/2019;661
3/22/2019;528
3/23/2019;395
3/24/2019;472
3/25/2019;763
3/26/2019;766
3/27/2019;770
3/28/2019;725
3/29/2019;546
3/30/2019;376
3/31/2019;496
04/01/2019;688
04/02/2019;823
04/03/2019;785
04/04/2019;696
04/05/2019;627
04/06/2019;395
04/07/2019;539
04/08/2019;778
04/09/2019;769
04/10/2019;802
04/11/2019;760
04/12/2019;610
4/13/2019;398
4/14/2019;597
4/15/2019;806
4/16/2019;800
4/17/2019;789
4/18/2019;692
4/19/2019;499
4/20/2019;422
4/21/2019;511
4/22/2019;791
4/23/2019;821
4/24/2019;866
4/25/2019;817
4/26/2019;691
4/27/2019;427
4/28/2019;566
4/29/2019;762
4/30/2019;824
05/01/2019;719
05/02/2019;720
05/03/2019;607
05/04/2019;463
05/05/2019;552
05/06/2019;762
05/07/2019;789
05/08/2019;739
05/09/2019;669
05/10/2019;650
05/11/2019;417
05/12/2019;495
5/13/2019;772
5/14/2019;692
5/15/2019;678
5/16/2019;624
5/17/2019;541
5/18/2019;331
