t;Yt;Y(t-1);Xt
1;30.2;;0.046857167
2;28.2;30.2;0.046455536
3;26.6;28.2;0.046857167
4;25.0;26.6;0.048195943
5;26.0;25.0;0.048865333
6;26.0;26.0;0.050204106
7;26.0;26.0;0.050204106
8;24.0;26.0;0.050204106
9;23.0;24.0;0.046857167
10;24.0;23.0;0.044179615
11;25.0;24.0;0.04284084
12;26.0;25.0;0.04049798
13;27.0;26.0;0.040163286
14;29.0;27.0;0.03882451
15;29.0;29.0;0.03882451
16;29.0;29.0;0.03882451
17;29.0;29.0;0.037485734
18;28.0;29.0;0.042506143
19;27.0;28.0;0.050204106
20;27.0;27.0;0.0562286
