t;Yt;Y(t-1);Xt
1;30.2;;19.860.268
2;28.2;30.2;19.760.132
3;26.6;28.2;19.860.268
4;25.0;26.6;20.194.054
5;26.0;25.0;2.052.784
6;26.0;26.0;20.861.626
7;26.0;26.0;20.861.626
8;24.0;26.0;2.052.784
9;23.0;24.0;2.002.716
10;24.0;23.0;19.693.375
11;25.0;24.0;19.860.268
12;26.0;25.0;2.002.716
13;27.0;26.0;20.360.947
14;29.0;27.0;2.052.784
15;29.0;29.0;2.052.784
16;29.0;29.0;2.052.784
17;29.0;29.0;20.360.947
18;28.0;29.0;20.194.054
19;27.0;28.0;2.002.716
20;27.0;27.0;20.194.054
21;27.0;27.0;20.194.054
22;27.0;27.0;20.194.054
23;27.0;27.0;2.002.716
24;27.0;27.0;2.002.716
25;27.0;27.0;2.002.716
26;28.0;27.0;20.194.054
27;29.0;28.0;20.360.947
28;31.0;29.0;2.052.784
29;31.0;31.0;20.694.733
30;32.0;31.0;20.694.733
31;32.0;32.0;2.052.784
32;31.0;32.0;20.694.733
33;31.0;31.0;20.694.733
34;30.0;31.0;20.861.626
35;30.0;30.0;20.694.733
36;29.0;30.0;2.052.784
37;27.0;29.0;20.360.947
38;26.0;27.0;2.002.716
39;25.0;26.0;2.002.716
40;25.0;25.0;19.860.268
41;24.0;25.0;19.693.375
42;24.0;24.0;19.526.482
43;25.0;24.0;19.526.482
44;25.0;25.0;19.526.482
45;25.0;25.0;19.693.375
46;26.0;25.0;19.860.268
47;26.0;26.0;19.860.268
48;27.0;26.0;19.860.268
49;27.0;27.0;19.860.268
50;27.0;27.0;19.860.268
51;27.0;27.0;2.002.716
52;28.0;27.0;2.002.716
53;28.0;28.0;2.002.716
54;27.0;28.0;2.002.716
55;27.0;27.0;19.860.268
56;26.0;27.0;19.860.268
57;25.0;26.0;19.860.268
58;23.0;25.0;19.860.268
59;22.0;23.0;19.693.375
60;21.0;22.0;19.359.589
61;20.0;21.0;19.359.589
62;19.0;20.0;19.192.696
63;19.0;19.0;19.192.696
64;20.0;19.0;19.192.696
65;21.0;20.0;19.192.696
66;21.0;21.0;19.192.696
67;21.0;21.0;19.192.696
68;22.0;21.0;19.359.589
69;24.0;22.0;19.526.482
70;26.0;24.0;19.693.375
71;27.0;26.0;19.860.268
72;28.0;27.0;19.860.268
;;28.0;
